project_id,job_name,current_machine_type,target_machine_type,region,target_cost,current_cost,savings,justification,current_machine_hourly_rate,target_machine_hourly_rate,created_at
ul-cd-p-901923-bg-prj,bgd-mf-gcs-to-bq,n1-standard-1,e2-micro,europe-west3,6.216160320000001,35.24976,29.03359968,"The e2-micro machine type is selected as it offers a lower cost while still meeting the predicted memory and CPU requirements. The predicted memory peak (0.81 GB) and CPU peak (0.15 vCPUs) are well within the capabilities of the e2-micro (1.0 GB memory, 2.0 vCPUs). The significant cost reduction from $35.25 to $6.22 per month, with savings of $29.03, makes it a cost-effective choice.",0.0611975,0.010791945,2026-01-05 02:30:49.554884 UTC
ul-cd-l-930268-vn-prj,vnm-mf-gcs-to-bq,n1-standard-1,e2-micro,europe-west3,6.216160320000001,35.24976,29.03359968,"The e2-micro machine type is selected as it offers a lower hourly rate and sufficient resources (1.0 GB memory, 2.0 vCPUs) to accommodate the predicted peak memory of 0.726 GB and peak CPU of 0.501 vCPUs, resulting in significant monthly savings.",0.0611975,0.010791945,2026-01-05 01:43:41.154352 UTC
ul-cd-u-901914-bg-prj,bgd-mf-gcs-to-bq,n1-standard-1,e2-micro,europe-west3,6.216160320000001,35.24976,29.0336,"The target machine type e2-micro is selected because its predicted CPU (2.0 vCPUs) and Memory (1.0 GB) are sufficient to handle the predicted peaks of 0.2921031826170322 vCPUs and 0.8757208155898836 GB, while offering significant cost savings compared to the current n1-standard-1 machine type.",0.0611975,0.010791945,2026-01-05 04:47:56.989127 UTC
ul-cd-p-901923-bg-prj,bgd-bq-to-gcs,n1-highmem-16,e2-micro,europe-west3,6.216160320000001,702.323712,696.10755168,"The target machine type 'e2-micro' with 1.0 GB memory and 2.0 vCPUs is significantly more cost-effective than the current 'n1-highmem-16' machine. The predicted memory peak of 0.869 GB and CPU peak of 0.095 vCPUs are well within the capacity of the 'e2-micro', indicating a substantial over-provisioning with the current setup. The calculated monthly savings are positive, making this a recommended optimization.",1.219312,0.010791945,2026-01-05 02:31:07.695462 UTC
ul-cd-p-901921-th-prj,tha-mf-gcs-to-bq,n1-standard-1,e2-small,europe-west3,12.432320640000002,35.24976,22.81743936,"The target machine type 'e2-small' is recommended as its predicted memory (2.0 GB) and CPU (2.0 vCPUs) are sufficient for the ML predictions (1.088 GB memory, 0.338 vCPUs), and it offers significant cost savings compared to the current 'n1-standard-1' machine type.",0.0611975,0.02158389,2026-01-05 01:59:51.095930 UTC
ul-cd-p-901922-vm-prj,vnm-mf-gcs-to-bq,n1-standard-1,e2-small,europe-west3,12.432320640000002,35.24976,22.81743936,"The target machine type 'e2-small' is selected because its predicted CPU (2.0 vCPUs) and Memory (2.0 GB) are sufficient to handle the predicted peak CPU (0.229 vCPUs) and Memory (1.004 GB) for the ML workload, while offering significant cost savings compared to the current 'n1-standard-1' machine type.",0.0611975,0.02158389,2026-01-05 02:15:52.168965 UTC
ul-cd-u-901912-th-prj,tha-mf-gcs-to-bq,n1-standard-1,e2-small,europe-west3,12.432320640000002,35.24976,22.81743936,"The e2-small machine type is selected as it offers a lower hourly rate and sufficient resources (2 vCPUs, 2 GB RAM) to accommodate the predicted peak memory of 1.024 GB and peak CPU of 0.299 vCPUs, while providing significant cost savings compared to the current n1-standard-1.",0.0611975,0.02158389,2026-01-05 04:03:36.119504 UTC
ul-cd-p-901922-vm-prj,vnm-bq-to-gcs-soq,n2-highmem-8,e2-small,europe-west3,12.432320640000002,388.8875520000001,376.45523136,"The target machine type 'e2-small' with 2.0 GB memory and 2.0 vCPUs is significantly more cost-effective than the current 'n2-highmem-8' machine type. The predicted memory peak of 1.83 GB and CPU peak of 0.10 vCPUs are well within the capacity of the 'e2-small' machine, indicating that the current machine is over-provisioned. The calculated monthly savings are substantial, making 'e2-small' the optimal choice.",0.675152,0.02158389,2026-01-05 02:16:11.769389 UTC
ul-cd-u-901913-vm-prj,vnm-bq-to-gcs,n1-highmem-16,e2-small,europe-west3,12.432320640000002,702.323712,689.89139136,"The target machine type 'e2-small' with 2.0 GB memory and 2.0 vCPUs is sufficient to handle the predicted memory peak of 1.08 GB and CPU peak of 0.5 vCPUs, while offering significant cost savings compared to the current 'n1-highmem-16' machine.",1.219312,0.02158389,2026-01-05 04:32:54.934582 UTC
ul-cd-l-930268-vn-prj,vnm-bq-to-gcs-sq-bp,n2-highmem-16,e2-small,europe-west3,12.43,777.78,765.34,"The target machine type 'e2-small' with 2.0 GB memory and 2.0 vCPUs is significantly over-provisioned compared to the predicted peak memory of 1.77 GB and peak CPU of 0.06 vCPUs. However, given the constraint to use the target machine type if savings are positive, and the substantial cost reduction from $777.78 to $12.43, this is the most cost-effective option. The sustained use discount has been applied to the target cost.",1.350304,0.02158389,2026-01-05 01:44:00.434455 UTC
ul-cd-u-901913-vm-prj,vnm-bq-to-gcs-sq-bp,n2-highmem-16,e2-small,europe-west3,12.432320640000002,777.7751040000002,765.34278336,"The target machine type 'e2-small' with 2.0 GB memory and 2.0 vCPUs is significantly more cost-effective than the current 'n2-highmem-16' machine. The predicted memory peak of 1.82 GB and CPU peak of 0.089 vCPUs are well within the capacity of 'e2-small', indicating that the current machine is over-provisioned. The substantial cost savings justify the migration.",1.350304,0.02158389,2026-01-05 04:33:31.224594 UTC
ul-cd-u-901912-th-prj,tha-bq-to-gcs-sq-bp,n2-highmem-16,e2-small,europe-west3,12.432320640000002,777.7751040000002,765.34278336,"The target machine type 'e2-small' with 2.0 GB memory and 2.0 vCPUs is significantly over-provisioned compared to the predicted peak memory of 1.78 GB and peak CPU of 0.01 vCPUs. However, since the predicted resource usage is extremely low, and the target machine offers substantial cost savings, it is recommended. If the target machine proves insufficient, a more granular analysis of the prediction and potential intermediate machine types would be necessary.",1.350304,0.02158389,2026-01-05 04:05:19.114848 UTC
ul-cd-l-930268-th-prj,tha-bq-to-gcs-sq-bp,n2-highmem-16,e2-small,europe-west3,12.432320640000002,777.7751040000002,765.34278336,"The target machine type 'e2-small' with 2.0 GB memory and 2.0 vCPUs is significantly over-provisioned compared to the predicted peak memory of 1.79 GB and peak CPU of 0.07 vCPUs. However, given the constraint to use the provided target machine type and its associated cost, the savings are substantial. If the predicted values were closer to the target machine's specs, a more granular analysis would be needed to find a better fit.",1.350304,0.02158389,2026-01-05 01:29:06.211900 UTC
ul-cd-p-901921-th-prj,tha-bq-to-gcs-soq,n2-highmem-8,e2-medium,europe-west3,24.864641280000004,388.8875520000001,364.02291072,The target machine type 'e2-medium' with 4.0 GB memory and 2.0 vCPUs is sufficient for the predicted peak memory of 2.71 GB and peak CPU of 0.5 vCPUs. This results in significant cost savings compared to the current 'n2-highmem-8' machine type.,0.675152,0.04316778,2026-01-05 02:00:10.705337 UTC
ul-cd-p-901923-bg-prj,bgd-bq-to-gcs-soq,n2-highmem-8,c4a-highmem-1,europe-west3,40.061376,388.887552,348.826176,The target machine type c4a-highmem-1 with 8.0 GB memory and 1.0 vCPU is sufficient for the predicted peak memory of 4.51 GB and peak CPU of 0.19 vCPUs. It offers significant cost savings compared to the current n2-highmem-8 machine type.,0.675152,0.069551,2026-01-05 02:30:28.669785 UTC
ul-cd-p-901921-th-prj,tha-bq-to-gcs-sq-bp,n2-highmem-16,c4a-highmem-1,europe-west3,40.061376,777.7751040000002,737.713728,The target machine type 'c4a-highmem-1' with 1.0 vCPU and 8.0 GB memory is sufficient for the predicted peak memory of 5.95 GB and peak CPU of 0.14 vCPUs. This results in significant cost savings compared to the current 'n2-highmem-16' machine type.,1.350304,0.069551,2026-01-05 02:00:29.550700 UTC
ul-cd-p-901922-vm-prj,vnm-bq-to-gcs-sq-bp,n2-highmem-16,e2-highmem-4,europe-west3,134.17,777.78,643.61,The target machine type e2-highmem-4 with 32.0 GB memory and 4.0 vCPUs is sufficient for the predicted peak memory of 20.37 GB and peak CPU of 0.30 vCPUs. The target machine offers significant cost savings compared to the current machine type n2-highmem-16.,1.350304,0.23292744,2026-01-05 02:16:35.253927 UTC
