project_id,resource_name,current_machine_type,target_machine_type,region,target_cost,current_cost,savings,justification,current_machine_hourly_rate,target_machine_hourly_rate,predicted_mem_gb,predicted_cpu,created_at
ul-cd-q-901676-gl-prj,gfr-cd-qa-901676-pk-loyalty-sql,db-custom-2-13312,db-custom-n4-2-13312,europe-west3,138.408,164.761,26.353,"The target machine type db-custom-n4-2-13312 with 2 vCPUs and 13.0 GB memory is selected because it meets the predicted memory peak of 7.74 GB and predicted CPU peak of 1 vCPU, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.2257,0.1896,7.74375,1.0,2026-01-05 20:01:04.706437 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-vnthph-isr-sql,db-custom-1-6656,db-custom-n4-1-6656,europe-west3,69.204,82.3805,13.1765,"The target machine type db-custom-n4-1-6656 with 6.5 GB memory and 1 vCPU is a cost-effective choice as it closely matches the predicted memory peak of 6.146484375 GB and predicted CPU peak of 1 vCPU, while offering a lower monthly cost and resulting in savings.",0.11285,0.0948,6.146484375,1.0,2026-01-05 20:01:12.696099 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-isr-pk-sql,db-custom-1-4096,db-custom-n4-1-4096,europe-west3,54.604,65.773,11.169,"The target machine type db-custom-n4-1-4096 with 1 vCPU and 4.0 GB memory is a cost-effective choice as it meets the predicted memory peak of 4.29 GB and predicted CPU peak of 1 vCPU, while offering a lower hourly rate and resulting in monthly savings.",0.0901,0.0748,4.2925781249999995,1.0,2026-01-05 20:01:20.115908 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-vnthph-loyalty-sql,db-custom-2-8192,db-custom-n4-2-8192,europe-west3,109.21,131.55,22.34,"The target machine type db-custom-n4-2-8192 with 8.0 GB memory and 2 vCPUs is a cost-effective choice as it meets the predicted memory peak of 6.01 GB and predicted CPU peak of 1 vCPU, while offering a lower monthly cost compared to the current machine type. The savings are positive, justifying the switch.",0.1802,0.1496,6.01171875,1.0,2026-01-05 20:01:28.134959 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-bd-isr-sql,db-custom-1-4096,db-custom-n4-1-4096,europe-west3,54.60,65.77,11.17,"The target machine type db-custom-n4-1-4096 with 1 vCPU and 4.0 GB memory is a cost-effective choice as it meets the predicted memory peak of 4.021875 GB and predicted CPU peak of 1 vCPU, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.0901,0.0748,4.021875,1.0,2026-01-05 20:01:34.737913 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-gl-ucube-sql,db-custom-1-3840,db-custom-n4-1-3840,europe-west3,53.144,64.11225,10.96825,"The target machine type db-custom-n4-1-3840 with 3.75 GB memory and 1 vCPU is a more cost-effective choice than the current db-custom-1-3840, as it meets the predicted memory peak of 1.884375 GB and CPU peak of 1 vCPU while offering a lower monthly cost. The savings are significant enough to warrant the change.",0.087825,0.0728,1.884375,1.0,2026-01-05 20:01:42.641541 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-isr-id-sql,db-custom-4-16384,db-custom-n4-4-16384,europe-west3,218.41600000000003,263.092,44.676,"The target machine type db-custom-n4-4-16384 with 16 GB memory and 4 vCPUs is a cost-effective choice as it meets the predicted memory peak of 15.67 GB and predicted CPU peak of 1 vCPU, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.3604,0.2992,15.669140624999999,1.0,2026-01-05 20:02:16.011801 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-loyalty-id-sql,db-custom-1-5120,db-custom-n4-1-5120,europe-west3,60.44,72.42,12.00,"The target machine type db-custom-n4-1-5120 with 5.0 GB memory and 1 vCPU is a cost-effective choice as it meets the predicted memory peak of 5.44 GB and CPU peak of 1 vCPU, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.0992,0.0828,5.443359375,1.0,2026-01-05 20:02:23.930532 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-bd-isr-sql,db-custom-4-16384,db-custom-n4-4-16384,europe-west3,218.416,263.092,44.676,The target machine type db-custom-n4-4-16384 with 4 vCPUs and 16 GB memory is a suitable fit for the predicted peak memory of 9.14 GB and peak CPU of 1 vCPU. It offers a lower hourly rate and results in monthly savings compared to the current machine type.,0.3604,0.2992,9.14296875,1.0,2026-01-05 20:02:31.248444 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-gl-ucube-sql,db-custom-1-6656,db-custom-n4-1-6656,europe-west3,69.204,82.3805,13.1765,"The target machine type db-custom-n4-1-6656 is selected because it offers a lower hourly rate (0.0948 USD) compared to the current machine type (0.11284999999999999 USD), resulting in a monthly saving of 13.1765 USD. Although the predicted memory peak is 2.0390625 GB and predicted CPU peak is 1 vCPU, the target machine's memory of 6.5 GB and 1 vCPU are sufficient and more cost-effective for the workload.",0.11284999999999999,0.0948,2.0390625,1.0,2026-01-05 20:02:39.274212 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901676-isr-pk-sql,db-custom-2-8192,db-custom-n4-2-8192,europe-west3,109.208,131.546,22.338,"The target machine type db-custom-n4-2-8192 with 2 vCPUs and 8.0 GB memory is a cost-effective choice as it meets the predicted CPU peak of 1 vCPU and predicted memory peak of 7.12 GB, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.1802,0.1496,7.1203125,1.0,2026-01-05 20:02:46.618582 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-vnthph-loyalty-sql,db-custom-4-16384,db-custom-n4-4-16384,europe-west3,218.416,263.092,44.676,The target machine type db-custom-n4-4-16384 is selected because it offers a lower hourly rate (0.2992 USD) compared to the current machine type (0.3604 USD) while meeting the predicted CPU requirement of 1 vCPU and exceeding the predicted memory peak of 10.78125 GB with 16.0 GB. This results in a monthly saving of 44.676 USD after applying the 20% SUD to the target cost.,0.3604,0.2992,10.78125,1.0,2026-01-05 20:02:54.536209 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-vnthph-isr-sql,db-custom-6-32768,db-custom-n4-6-32768,europe-west3,374.34,447.78,73.44,"The target machine type db-custom-n4-6-32768 with 6 vCPUs and 32 GB memory is a cost-effective choice as it meets the predicted CPU peak of 1 vCPU and predicted memory peak of 32.71 GB. Although the target machine has more CPUs than predicted, it offers significant monthly savings of 73.44 USD compared to the current machine type, while still staying within the predicted memory requirements.",0.6134,0.5128,32.717578124999996,1.0,2026-01-05 20:03:02.258303 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-isr-perf-pk-sql,db-custom-2-8192,db-custom-n4-2-8192,europe-west3,109.21,131.55,22.34,"The target machine type db-custom-n4-2-8192 with 2 vCPUs and 8.0 GB memory is selected because it meets the predicted CPU peak of 1 vCPU and predicted memory peak of 5.518359375 GB, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.1802,0.1496,5.518359375,1.0,2026-01-05 20:03:10.922676 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-loyalty-perf-sql,db-custom-4-26624,db-custom-n4-4-26624,europe-west3,276.816,329.522,52.706,"The target machine type db-custom-n4-4-26624 with 4 vCPUs and 26.0 GB memory is chosen because it meets the predicted CPU peak of 1 vCPU and predicted memory peak of 13.68515625 GB, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.4514,0.3792,13.68515625,1.0,2026-01-05 20:03:19.390468 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-ucube-cloudsql-perf,db-custom-4-16384,db-custom-n4-4-16384,europe-west3,218.416,263.092,44.676,"The target machine type db-custom-n4-4-16384 with 4 vCPUs and 16 GB memory is chosen because it can accommodate the predicted peak memory of 5.0859375 GB and 1 vCPU, while offering a lower hourly rate and resulting in monthly savings compared to the current machine type.",0.3604,0.2992,5.0859375,1.0,2026-01-05 20:03:28.124714 UTC
ul-cd-u-901677-gl-prj,gfr-cd-perf-901677-pk-loyalty-sql,db-custom-2-13312,db-custom-n4-2-13312,europe-west3,138.408,164.761,26.353,"The target machine type db-custom-n4-2-13312 with 2 vCPUs and 13.0 GB memory is selected because it is more cost-effective than the current machine type db-custom-2-13312. Although the predicted memory peak (6.938671875 GB) and CPU peak (1 vCPU) are lower than both current and target machines, the target machine offers a lower hourly rate and consequently a lower monthly cost, resulting in savings. The target machine's specifications are sufficient to handle the predicted workload while optimizing costs.",0.2257,0.1896,6.938671875,1.0,2026-01-05 20:03:38.963215 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-bd-isr-perf-sql,db-custom-2-13312,db-custom-n4-2-13312,europe-west3,138.408,164.761,26.353,"The target machine type db-custom-n4-2-13312 with 2 vCPUs and 13.0 GB memory is a cost-effective choice as it meets the predicted memory peak of 7.96 GB and predicted CPU peak of 1 vCPU, while offering a lower monthly cost compared to the current machine type.",0.2257,0.1896,7.9640625,1.0,2026-01-05 20:03:47.123097 UTC
ul-cd-u-901677-gl-prj,gfr-cd-perf-901677-vn-th-ph-isr-cloudsql,db-custom-10-66560,db-custom-n4-10-66560,europe-west3,692.04,823.80,131.76,The target machine type db-custom-n4-10-66560 with 10 vCPUs and 65.0 GB memory is a cost-effective choice as it meets the predicted CPU peak of 1 vCPU and is close to the predicted memory peak of 61.51 GB. It offers a significant monthly saving of 131.76 USD compared to the current machine type db-custom-10-66560.,1.1285,0.948,61.510546874999996,1.0,2026-01-05 20:03:54.421874 UTC
